round,player_hand,dealer_hand,actions,reward
228,"7,5,10","5,5,3,11,10",1,-1
229,"11,8,10","8,3,10",2,-1
230,"5,10,10","10,6,10",1,-1
231,"2,10,10","7,10",1,-1
232,"10,10","2,7,11",0,0
233,"4,9,9","10,6,4",2,-1
234,"10,7","2,4,4,10",0,-1
235,"10,9","4,9,10",0,1
236,"8,2,9,10","9,7,9","1,1",-1
237,"5,9,8","7,10",1,-1
238,"11,3,10,11,3","3,9,8","1,1,1,0",-1
239,"11,6,5,4,7","7,10","1,1,1",-1
240,"10,5,10","8,10",1,-1
241,"2,5,11","9,10","1,0",-1
242,"11,7,8,10","10,6,2","1,1",-1
243,"8,10,10","2,10,10",1,-1
244,"10,7,4","10,7",1,1
245,"10,10,10","10,8",1,-1
246,"8,3,10","10,2,10",1,1
247,"10,10,2","10,8",1,-1
248,"10,4,10","5,10,10",1,-1
249,"3,10,9","10,3,10",1,-1
250,"10,2,10","6,10,3",1,-1
251,"10,10,6","9,11",1,-1
252,"10,10,5","5,10,5",1,-1
253,"10,11,5,3,11,10","9,6,6","1,1,1,1",-1
254,"8,9,8","7,6,8",1,-1
255,"2,10","10,2,3,10",0,1
256,"5,2","10,4,6",0,-1
257,"4,3","7,4,8",0,-1
258,"7,11,9,6","4,9,3,2","1,1",-1
259,"5,4","8,7,11,10",0,1
260,"7,10,5","3,9,10",1,-1
261,"11,5","11,10",,-1
262,"6,2","10,7","3,0",-1
262,"6,4","10,7","3,0",-1
263,"10,7,6","11,9",1,-1
264,"5,2","3,10,5",0,-1
265,"4,4,4","3,10,10",2,1
266,"2,3","6,10,10",0,1
267,"8,10,10","8,6,9",1,-1
268,"6,10,3","11,3,4",2,1
269,"2,3","10,4,10",0,1
270,"3,6","5,2,9,3",0,-1
271,"7,11,10,9","10,2,10","1,1",-1
272,"10,10","8,11",0,1
273,"2,2","9,4,7",0,-1
274,"9,10,6","9,10",1,-1
275,"10,7,2,10","9,10","1,1",-1
276,"2,4","10,10",0,-1
277,"4,10","10,8",0,-1
278,"10,6,3","5,8,10","1,0",1
279,"4,2","9,3,7",0,-1
280,"8,8,11,7","8,7,3","1,1",-1
281,"10,10","10,11",,-1
282,"6,8,5,3","10,9","1,1",-1
283,"10,10,4","10,10",1,-1
284,"5,10,9","10,6,10",2,-1
285,"11,4,11,10,9","6,2,2,6,2","1,1,1",-1
286,"10,10,9","11,9",1,-1
287,"10,3,10","10,2,5",2,-1
288,"4,7,3","9,4,6",2,-1
289,"10,10","6,2,10",0,1
290,"2,3","10,2,10",0,1
291,"9,5,2","10,10",2,-1
292,"10,6,8","2,3,8,9",1,-1
293,"5,10,10","10,10",2,-1
294,"8,10","10,11",,-1
295,"3,7","10,6,10",0,1
296,"8,6,10","10,10",2,-1
297,"8,3","10,7",0,-1
298,"7,8,7","3,8,5,5",1,-1
299,"9,3","9,8",0,-1
300,"6,9,11,6","7,10","1,1",-1
301,"11,5,10,4,3","10,10","1,1,1",-1
302,"2,11","10,5,10",0,1
303,"10,4","10,8",0,-1
304,"5,6","10,4,7",0,-1
305,"10,11","5,11,9,11,10",0,1
306,"5,7","10,8",0,-1
307,"6,8,11,10","4,10,2,2","1,1",-1
308,"10,3,5","4,5,10","1,0",-1
309,"10,7,10","7,3,10",1,-1
310,"8,6,10","4,5,8",1,-1
311,"8,10,4","9,4,2,11,3",1,-1
312,"3,6","7,4,10",0,-1
313,"6,10","10,11",,-1
314,"4,11,4,8,8","8,2,11","1,1,1",-1
315,"10,11","2,10,5",0,1
