round,player_hand,dealer_hand,actions,reward
231,"8,2,10","8,3,4,6",2,-1
232,"10,10,9","10,7",1,-1
233,"9,7,9","8,7,6",2,-1
234,"7,4,2","7,9,10",2,1
235,"11,5,3","3,3,8,10","3,1,0",1
235,"11,11","3,3,8,10","3,1,0",1
236,"10,5,8","10,2,2,7",2,-1
237,"6,9,5","4,10,6","1,0",0
238,"8,9,10","8,6,3",1,-1
239,"10,7,10","8,8,7","3,3,1",-1
239,"10,10","8,8,7","3,3,1",1
239,"10,3","8,8,7","3,3,1",1
240,"10,4","10,11",,-1
241,"10,5,9","10,10",2,-1
242,"2,11,5","4,4,7,9",2,1
243,"10,9,10","10,10",1,-1
244,"2,10,11","5,6,10",2,-1
245,"10,6,5","10,10",2,1
246,"7,10,10","10,8",2,-1
247,"5,9,2,10","2,11,6","1,1",-1
248,"9,4,7","9,9",2,1
249,"7,5,3","10,3,5",2,-1
250,"2,9,5","5,4,11",2,-1
251,"10,11","10,6,7",0,1
252,"6,10","11,10",,-1
253,"10,10","4,8,7",0,1
254,"8,7","10,11",,-1
255,"6,10,3","10,2,10",2,1
256,"6,3,6","3,8,4,2",2,-1
257,"8,5,10","3,10,10",1,-1
258,"2,11,4,11","3,5,2,10","1,1,0",-1
259,"10,3,11","10,9",2,-1
260,"10,10","8,5,2,10",0,1
261,"10,10","11,10",,-1
262,"9,8,9","7,4,4,8",1,-1
263,"3,10,10","4,10,10",2,-1
264,"5,6,4","10,3,10",2,1
265,"4,8,10","8,8,8",2,-1
266,"2,10,10","10,8",2,-1
267,"9,4,10","4,10,2,5",2,-1
268,"10,9,10","10,7",1,-1
269,"10,2,10","7,8,10",2,-1
270,"6,10,7","10,9",2,-1
271,"8,2,6","10,6,10",2,1
272,"10,10","4,10,4",0,1
273,"2,10,3","5,7,11,9","3,2",1
273,"2,3","5,7,11,9","3,2",1
274,"9,10,9","7,5,5",1,-1
275,"10,11,2","10,6,3","1,0",-1
276,"6,3,10","2,9,10",2,-1
277,"10,4,7","10,10",2,1
278,"10,9","6,10,5",0,-1
279,"6,10,10","10,9",2,-1
280,"4,3","3,8,10","3,0",-1
280,"4,2","3,8,10","3,0",-1
281,"10,5,4","11,8",2,0
282,"10,11","5,7,3,4",0,1
283,"2,11,10","9,6,7",2,1
284,"4,9,5","3,10,5",2,0
