round,player_hand,dealer_hand,actions,reward
220,"6,10","4,10,11,10",0,1
221,"8,2","11,9",0,-1
222,"10,10,4","5,4,6,8",2,-1
223,"9,5","10,10",0,-1
224,"6,9,10","7,8,2",2,-1
225,"3,3","8,11",0,-1
226,"10,7,10","10,4,6",2,-1
227,"7,10","8,2,10",0,-1
228,"4,10,5","2,3,9,5","1,0",0
229,"10,11","11,5,10,11",0,1
230,"8,11","10,10",0,-1
231,"10,4","10,10",0,-1
232,"10,10,11","11,5,5",1,0
233,"11,11,8","5,4,2,7",2,1
234,"2,10","10,10",0,-1
235,"5,10","8,10",0,-1
236,"10,11","10,10",0,1
237,"11,10","6,8,10",0,1
238,"10,2","5,6,4,7",0,1
239,"9,10","10,10",0,-1
240,"6,11","10,9",0,-1
241,"2,4,10","10,9",2,-1
242,"10,6,7","3,7,5,7",1,-1
243,"8,6,9","9,7,3",2,-1
244,"10,4","2,10,5",0,-1
245,"8,10","4,11,11,10,10",0,1
246,"9,4","3,3,10,10",0,1
247,"11,10","5,6,4,8",0,1
248,"4,10,5","9,10","1,0",0
249,"3,10,5","9,9","1,0",0
250,"4,11","3,10,9",0,1
251,"7,10,8","5,7,11,10",2,-1
252,"10,8,9","10,7",2,-1
253,"5,9,3","4,9,11,10",2,1
254,"5,7,10","9,8",1,-1
255,"9,8","4,6,4,10",0,1
256,"5,10","8,10",0,-1
257,"9,10","10,4,3",0,1
258,"8,2,6","9,10","1,0",-1
259,"10,7","2,9,5,10",0,1
260,"10,10","11,10",,-1
261,"10,7","4,3,4,10",0,-1
262,"8,7,7","10,8",1,-1
263,"10,10,7","10,3,4",2,-1
264,"10,5","2,7,10",0,-1
265,"6,8,7","10,3,9",1,1
266,"8,11","4,7,11,10",0,1
267,"3,10,5","3,6,10","1,0",-1
268,"10,10","3,6,7,6",0,1
269,"4,6,8,3","10,10","1,1",1
270,"10,10","4,10,10",0,1
271,"8,7,9","10,2,5",1,-1
272,"6,2,9,6","10,8","1,1",-1
273,"10,11,5","2,10,9","1,0",-1
274,"6,2,5,6,2","10,6,2","1,1,1",1
275,"10,10","10,5,2",0,1
276,"11,6,3","11,11,10,3,4","1,0",1
277,"10,10","3,11,6",0,0
278,"7,9,9","10,8",1,-1
279,"7,6","7,8,10",0,1
280,"3,4","5,3,10",0,-1
281,"2,10","2,2,10,11,4",0,-1
282,"10,10","7,10",0,1
283,"9,10","10,3,8",0,-1
284,"8,11","9,10",0,0
285,"9,2","6,10,7",0,1
286,"3,10","9,11",0,-1
287,"11,10","5,2,10",0,1
288,"5,2","8,10",0,-1
289,"7,9","8,2,7",0,-1
290,"5,5,4","8,6,2,9","1,0",1
291,"7,10","2,10,10",0,1
292,"5,10","10,7","3,0",-1
292,"5,10","10,7","3,0",-1
293,"3,10","4,10,10",0,1
294,"11,10","6,4,2,6",0,1
295,"10,10","11,5,10,10",0,1
296,"8,8","10,10",0,-1
297,"11,10,11","10,6,10","1,0",1
298,"9,8","10,3,8",0,-1
299,"8,11","10,9",0,0
300,"10,5,4","10,10","1,0",-1
301,"10,10","3,6,3,8",0,0
302,"6,10","10,11",,-1
303,"4,9","6,5,3,9",0,1
304,"9,7","5,9,10",0,1
305,"7,11,6,11","5,10,9","1,1,0",1
306,"8,10,3","2,10,10",2,1
307,"10,10","6,7,5",0,1
308,"9,2,3,9","10,4,10","1,1",-1
309,"10,11","6,7,10",0,1
310,"11,4,4","10,2,10","1,0",1
311,"10,5","7,5,10",0,1
312,"8,3","6,10,10",0,1
313,"8,9,10","3,2,2,5,6",2,-1
314,"3,4,10","10,9","1,0",-1
315,"9,10","10,11",,-1
316,"2,4","2,10,10",0,1
317,"10,10","5,8,8",0,-1
318,"6,11","10,8",0,-1
319,"6,5","4,10,6",0,-1
320,"4,10","4,11,10,3",0,-1
321,"10,10","11,9",0,0
322,"7,10","7,9,7",0,1
323,"7,10","3,4,2,10",0,-1
324,"2,3,4,4","10,10","1,1,0",-1
325,"10,10,8","6,6,4,10","3,1",-1
325,"10,10","6,6,4,10","3,1",1
326,"6,2,8,3","10,7","1,1,0",1
327,"7,10,10","7,4,10",2,-1
328,"7,10","4,9,2,2",0,0
329,"11,6","10,2,9",0,-1
330,"11,10,2,8","3,11,10,4","1,1",1
331,"3,10,5,10","9,3,11,3,3","1,1",-1
332,"7,10,11","7,3,4,5","1,0",-1
333,"8,10,3","2,5,4,5,10",1,1
334,"8,10,7","10,10",1,-1
335,"9,10,7","10,4,3",1,-1
336,"10,8,7","4,10,4",1,-1
337,"9,10,2","5,5,8",2,1
338,"7,2,2,6","2,8,10","1,1,0",-1
339,"10,6,8","10,10",1,-1
340,"9,8,3","5,4,10",2,1
341,"10,7","10,11",,-1
342,"11,8,10","5,3,4,10",2,1
343,"11,10,10","10,10",2,1
344,"8,9,2","10,5,7","1,0",1
345,"10,7,11","9,7,7",2,1
346,"8,10,4","2,10,10",2,-1
347,"5,10,11","10,10",2,-1
348,"2,10,3","8,10",2,-1
349,"10,8,7","11,11,10,6",2,-1
350,"8,10,9","10,10",2,-1
351,"7,6,8","10,10",2,1
352,"5,10,10","4,10,10",2,-1
353,"2,7,2","5,4,5,10",2,1
354,"6,8,10","10,10",1,-1
355,"3,11,10","2,7,9",2,-1
356,"10,9","10,11",,-1
357,"5,10,10","3,2,3,10",2,-1
358,"11,8,10","8,4,9",2,-1
359,"10,10,8","2,3,8,11,8",2,-1
360,"10,6,11","3,10,4",2,0
361,"9,6,3","6,9,10",2,1
362,"4,10,2","5,9,9",2,1
363,"9,3","11,2,9,3,8",0,1
364,"4,7,10","5,10,11,8",2,1
365,"6,7,9","10,5,10",2,-1
366,"9,2,11","5,10,10",2,1
367,"4,6,10","6,6,5",2,1
368,"7,3","6,11",0,-1
369,"10,10,8","2,10,3,4",2,-1
370,"10,10,2","10,10",2,-1
371,"10,2,7","10,10",2,-1
372,"10,7","10,11",,-1
373,"5,7,10","3,10,10",2,-1
374,"2,8","10,7",0,-1
375,"9,8,2","10,8",2,1
376,"9,10,10","9,10",2,-1
377,"10,9,10","10,8",2,-1
378,"8,10,5","10,6,5",2,-1
379,"2,5","11,10",,-1
380,"7,4","8,5,10",0,1
381,"10,9,6","9,10",2,-1
382,"8,11,10","4,5,4,10",2,1
383,"5,9,10","2,2,4,4,6",2,-1
384,"9,10,10","10,8","3,2",-1
384,"9,7","10,8","3,2",-1
385,"11,6,7","3,5,4,10",2,1
386,"7,3","11,10",,-1
387,"11,5","8,11",0,-1
388,"8,11,3,10","9,10","1,1",-1
389,"9,6","8,6,11,10",0,1
390,"4,2,10,4","11,4,8,6","1,1,0",1
391,"11,9,7,9","10,6,11","1,1",-1
392,"10,8","2,4,10,10",0,1
393,"9,10,4","10,10",1,-1
394,"6,8","4,10,2,2",0,-1
395,"10,10","9,11",0,0
396,"10,3","2,3,2,4,3,10",0,1
397,"8,3","3,9,4,10",0,1
398,"4,6","4,5,10",0,-1
399,"5,10","5,10,4",0,-1
400,"3,4,6","10,6,10","1,0",1
401,"5,10,6","7,11",1,1
402,"2,10,10","10,3,9",1,-1
403,"10,10","9,11",0,0
404,"6,8","9,2,7",0,-1
405,"6,4,10","8,11","1,0",1
406,"9,10","6,9,10",0,1
407,"5,7","7,10",0,-1
408,"2,8","3,10,6",0,-1
409,"7,10,5","8,6,4",1,-1
410,"10,10,3","7,10",1,-1
411,"10,5","11,10",,-1
412,"7,6","7,4,4,10",0,1
413,"5,9","4,2,10,9",0,1
414,"9,9","11,5,5",0,-1
415,"10,6","10,7",0,-1
416,"3,10,3","11,4,5","3,2",-1
416,"3,10","11,4,5","3,2",-1
417,"10,11","10,11",,0
418,"5,8,2,6","10,8","1,1",1
419,"6,9","10,7",0,-1
420,"11,11","6,10,8",0,1
421,"3,10","4,11,10,9",0,1
422,"8,2,2","5,10,10","1,0",1
423,"5,9,9","5,10,8",1,-1
424,"3,4,8","4,10,3","1,0",-1
425,"10,10","4,2,2,6,5",0,1
426,"10,6","10,8",0,-1
427,"8,9","5,7,10","3,0",1
427,"8,3","5,7,10","3,0",1
428,"7,6,7,10","10,10","1,1",-1
429,"10,9","5,9,10",0,1
430,"6,2,10","10,4,7","1,0",-1
431,"10,10","2,10,10",0,1
432,"2,10,2","5,10,7","1,0",1
433,"2,10","3,10,11,10",0,1
434,"10,6","7,10",0,-1
435,"8,7","5,3,8,8",0,1
436,"2,9","5,7,5",0,-1
437,"10,5","3,8,8",0,-1
438,"11,10","10,7",0,1
439,"10,2,10","10,7",1,-1
440,"8,4,4,10","7,10","1,1",-1
441,"4,2,5,11","6,7,9","1,1,0",1
442,"11,9,11","11,6",2,1
443,"10,10","4,6,2,10",0,1
444,"2,9","6,5,11,10",0,1
445,"10,2","4,4,10",0,-1
446,"9,3","7,10",0,-1
447,"3,4,10","10,2,2,3","1,0",0
448,"7,5,11","10,10","1,0",-1
449,"10,6,3","11,6",2,1
450,"7,10","9,10",0,-1
451,"10,4,10","8,11",1,-1
452,"10,7,4","6,7,3,10",2,1
453,"10,9,10","10,10",1,-1
454,"10,10","10,11",,-1
455,"2,10,8","3,4,9,11",2,1
456,"10,10,4","9,3,9",2,-1
457,"7,10","3,3,3,6,11,5",0,-1
458,"9,4,10","3,4,3,10",2,-1
459,"10,10,8","9,8",2,-1
460,"11,5","3,10,8",0,-1
461,"6,8","8,10","3,0",-1
461,"6,3","8,10","3,0",-1
462,"10,8,10","10,10",2,-1
463,"10,3,6","6,2,10",2,1
464,"10,10,10","10,7",2,-1
465,"10,9,7","8,4,4,11",2,-1
466,"4,10","11,10",,-1
467,"10,10","3,9,6",0,1
468,"4,9,7","5,4,10",2,1
469,"10,6,7","7,4,11,10",2,-1
470,"4,10,5","10,9",2,0
471,"10,9,4","3,10,5",2,-1
472,"10,8","3,7,6,10",0,1
473,"6,7,4","6,10,6",2,1
474,"10,6,5","6,3,10",2,1
475,"6,5","10,7",0,-1
476,"10,10,10","6,2,3,10",2,-1
477,"6,3,10","11,9",2,-1
478,"8,10,10","9,2,5,2",2,-1
479,"10,10,11","3,10,8",2,0
480,"7,8,8","11,3,2,7,4",2,-1
481,"10,2,4","7,5,3,4",2,-1
482,"6,11,9","2,11,8",2,-1
483,"10,7,5","3,9,10",2,-1
484,"9,7,5","11,9",2,1
485,"10,9,9","11,3,10,2,10",2,-1
486,"10,10,2","10,7",2,-1
487,"10,4,7","4,3,10",2,1
488,"11,10,2","10,10",2,-1
489,"11,9,10","8,10",2,1
490,"11,5,3","5,10,8",2,1
491,"5,10,9","7,9,4",2,-1
492,"2,2,2","4,11,5",2,-1
493,"2,10,4,8","8,7,10","1,1",-1
494,"5,10,11","8,11",2,-1
495,"7,7","10,5,11,3",0,-1
496,"10,10","11,10",,-1
497,"8,7,10","7,10",2,-1
498,"9,2,7","10,10",2,-1
499,"10,2,5","3,10,2,2",2,0
500,"2,5,6","11,6",2,-1
501,"10,6","9,7,2",0,-1
502,"4,10,5","4,6,9",2,0
503,"2,10","10,4,6",0,-1
504,"10,5","10,9",0,-1
505,"10,10,10","7,8,9",2,-1
506,"10,5","10,5,4",0,-1
507,"6,10","10,10",0,-1
508,"3,6,7","3,10,8",2,-1
509,"10,3,9","3,10,10",2,-1
510,"10,5,9","10,5,3",1,-1
511,"11,6,5,4,6","10,7","1,1,1",-1
512,"9,10,2","10,10",1,1
513,"7,11,3","6,2,2,10",1,1
514,"10,10,10","10,7",1,-1
515,"10,8","8,5,2,4",0,-1
516,"10,10,8","11,11,9",1,-1
517,"10,4,7","8,3,11,9",1,0
518,"3,10,11,2","8,4,3,3","1,1,0",-1
519,"3,8,4","4,10,2,4",2,-1
520,"11,6,6,9","10,9","1,1",-1
521,"9,7,2","10,5,10","1,0",1
522,"10,10,4","7,2,5,11,3",1,-1
523,"6,6","4,3,11",0,-1
524,"11,10,10","10,9",1,1
525,"11,9,10,4","10,10","1,1",-1
526,"6,10","11,5,6,10",0,1
527,"2,10,7,11","9,8","1,1,0",1
528,"10,9","7,8,5",0,-1
529,"2,10,4","3,5,10","1,0",-1
530,"3,10,6","10,10",2,-1
531,"7,8","10,5,2",0,-1
532,"5,2,6,10","6,10,7","1,1",-1
533,"2,5,10","9,8","1,0",0
534,"10,7","10,10",0,-1
535,"10,10","10,8","3,0",1
535,"10,5","10,8","3,0",-1
536,"6,8,11,10","10,7","1,1",-1
537,"9,4,6","7,5,10",2,1
538,"11,2,4","10,10","1,0",-1
539,"8,7","5,9,2,2",0,-1
540,"11,3,10","7,2,3,6","1,0",-1
541,"5,10,6","4,4,5,9",1,1
542,"7,5,4","3,9,11,9","1,0",1
543,"6,11,11","3,8,3,10","1,0",1
544,"4,8,11,10","6,10,9","1,1",-1
545,"10,7,10","10,7",1,-1
546,"11,6,11","7,10","1,0",1
547,"11,9,3,11,10","6,8,10","1,1,1",-1
548,"3,10,11,9","8,3,6","1,1",-1
549,"5,9,4,2","10,10","1,1,0",0
550,"2,10,10","10,10",1,-1
551,"6,10","11,10",,-1
552,"10,6","10,10",0,-1
553,"6,3","5,11,10,3",0,-1
554,"10,5,3,7","10,2,8","1,1",-1
555,"10,9,2","9,10",1,1
556,"11,11","5,8,4",0,-1
557,"10,10","10,8",0,1
558,"9,10","2,9,2,3,8",0,1
559,"3,7","5,5,10",0,-1
560,"4,10,4","11,7","1,0",0
561,"11,10","10,10",0,1
562,"10,2","4,4,8,5",0,-1
563,"10,4","8,5,6",0,-1
564,"6,11","6,4,10",0,-1
565,"2,2,7,9","10,7","1,1,0",1
566,"10,4","6,10,4",0,-1
567,"2,2,4,5","10,9","1,1,0",-1
568,"10,4,2","5,6,9",2,-1
569,"4,10","9,6,10",0,1
570,"10,10","10,10",0,0
571,"2,6,7","10,10","1,0",-1
572,"10,11,8","3,10,6","1,0",0
573,"7,9","3,10,4",0,-1
574,"10,3","3,10,10",0,1
575,"10,4","7,10",0,-1
576,"10,5","3,9,5",0,-1
577,"4,5,10","10,5,10","1,0",1
578,"2,2,8,9","10,6,8","1,1",1
579,"10,10,4","8,8,3",2,-1
580,"4,4,9","9,10","1,0",-1
581,"10,2","11,5,10,11",0,-1
582,"7,2","10,11",,-1
583,"3,7,7,11,3","10,6,9","1,1,1",1
584,"3,9,6,4","9,2,5,3","1,1",-1
585,"2,11,10","10,2,10","1,0",1
586,"3,10,10","5,10,7",1,-1
587,"4,11,7,6,3","10,7","1,1,1",1
588,"9,5,8","10,6,10",1,-1
589,"7,4,10","8,10",1,1
590,"2,10,3,5","10,10","1,1,0",0
591,"2,5,3,10,9","7,9,2","1,1,1",-1
592,"8,10","11,10",,-1
593,"6,10","9,10",0,-1
594,"10,11,10","6,2,5,9",1,1
595,"11,10","10,11",,0
596,"10,10","10,3,10",0,1
597,"7,10","10,10",0,-1
598,"2,11,9","10,9",2,-1
599,"7,9,10","8,10",1,-1
600,"6,7,10","5,5,8",1,-1
601,"7,5,9","10,8",1,1
602,"11,2","10,4,10",0,1
603,"8,8,6","10,2,5",1,-1
604,"10,4,8","2,10,6",1,-1
605,"6,7,10","3,3,5,10",1,-1
606,"10,11","10,5,10",0,1
607,"2,5,10","10,7","1,0",0
608,"5,2,2","9,11",2,-1
609,"8,11","5,7,10",0,1
610,"8,10","5,11,10,10",0,1
611,"4,4","6,11",0,-1
612,"11,10","6,8,7",0,0
613,"10,3,9","10,7",1,-1
614,"4,10","10,10",0,-1
615,"10,10","8,2,4,4",0,1
616,"8,3","8,10",0,-1
617,"10,8","10,8",0,0
618,"7,4","8,2,10",0,-1
619,"10,10","3,3,10,4",0,0
620,"3,9","10,9",0,-1
621,"5,10","11,6",0,-1
622,"10,6","5,9,5",0,-1
623,"8,5","7,4,10",0,-1
624,"5,4","8,10",0,-1
625,"9,11","7,10",0,1
626,"6,9","2,10,6",0,-1
627,"2,3,2","9,8","1,0",-1
628,"9,6","4,3,10",0,-1
629,"4,3,2,10","6,6,8","1,1,0",-1
630,"10,3","7,11",0,-1
631,"10,11","6,9,5",0,1
632,"4,5,7,6","10,7","1,1",-1
633,"7,10,8","6,3,5,5",2,-1
634,"3,4,11,10,10","10,8","1,1,1",-1
635,"10,11","10,10",0,1
636,"10,8","6,11",0,1
637,"10,10","8,10",0,1
638,"5,2,10","10,9","1,0",-1
639,"10,6","10,5,10",0,1
640,"7,9","8,10",0,-1
641,"10,3","6,10,7",0,1
642,"11,7","9,10",0,-1
643,"10,8,3","10,3,5",2,1
644,"11,2","10,4,11,8",0,1
645,"9,10","10,3,10",0,1
646,"10,8","10,2,4,7",0,1
647,"8,5","7,4,6",0,-1
648,"4,10,5","4,2,2,10","1,0",1
649,"10,11","2,3,3,10",0,1
650,"10,2","6,10,10",0,1
651,"7,10","5,8,6",0,-1
652,"10,5","10,3,5",0,-1
653,"5,10","2,11,10,9",0,1
654,"10,5","8,4,2,7",0,-1
655,"7,6","3,4,11",0,-1
656,"4,2","7,2,10",0,-1
657,"4,6","7,10",0,-1
658,"9,7,11","4,4,10","1,0",-1
659,"11,10","10,2,10",0,1
660,"3,5","5,10,6",0,-1
661,"4,10","8,2,10",0,-1
662,"10,10","6,7,6",0,1
663,"3,5","8,11",0,-1
664,"5,10","3,5,3,10",0,-1
665,"11,8,4","3,10,2,3",2,-1
666,"10,9","10,6,2",0,1
667,"3,4,5","8,10",2,-1
668,"11,4","11,9",0,-1
669,"10,2,7","4,10,10",2,1
670,"3,8,10","6,10,7",2,1
671,"10,10","5,10,2",0,1
672,"10,3","10,10",0,-1
673,"7,10","4,11,10,10",0,1
674,"6,11","6,4,7",0,0
675,"2,3,10","2,7,9",2,-1
676,"10,8,6","7,3,3,7",1,-1
677,"11,4","6,10,9",0,1
678,"6,5,10","10,2,10",1,1
679,"6,6","5,2,7,10",0,1
680,"9,7,5","10,2,9",1,0
681,"8,8","10,6,7",0,1
682,"9,3","4,10,10",0,1
683,"4,9,3","2,3,10,10",2,1
684,"5,10","10,3,6",0,-1
685,"3,5,9","8,10","1,0",-1
686,"8,10","6,7,11,9",0,1
687,"5,10","7,4,10",0,-1
