round,player_hand,dealer_hand,actions,result
195,"8,9,2","2,10,2,5","1,0",0
196,"9,10","10,10",0,-1
197,"3,9,11","8,7,8",2,0
198,"9,3,10","7,10",2,-1
199,"10,6,3","3,6,4,9","1,0",0
200,"10,10","10,11",,-1
201,"10,3,8","10,10",2,1
202,"10,5,10","3,11,9,3,3",1,-1
203,"7,8,2","8,6,11,10",2,0
204,"10,5,10","10,9",2,-1
205,"5,9,10","10,9","3,2",-1
205,"5,6","10,9","3,2",-1
206,"8,3,10","6,10,4",2,1
207,"3,10,11","10,2,10",2,0
208,"10,7,4","10,8",2,1
209,"4,10,10","4,7,10",1,-1
210,"2,8,10","10,9",2,1
211,"10,3,2","9,10",2,-1
212,"11,6,10,10","3,8,10","1,1",-1
213,"10,5,10","4,11,3",1,-1
214,"7,11,11,9,10","7,11","1,1,1",-1
215,"4,2","10,2,6",0,-1
216,"10,2,10","6,3,2,5,10",2,-1
217,"10,4,2","11,7",2,-1
218,"10,4,7","10,7","3,2",1
218,"10,3","10,7","3,2",-1
219,"3,6,6","10,2,4,2",2,-1
220,"10,8,7","10,8",2,-1
221,"2,5,3","9,6,10",2,0
222,"6,4,10","9,10",2,1
223,"9,10,9","4,11,2",1,-1
224,"4,5,7","10,5,8",2,0
225,"10,4,4,10","4,7,5,8","1,1",-1
226,"10,5,2,10","4,10,7","1,1",-1
227,"10,2,11","10,5,9",2,0
228,"2,4,4","6,11",2,-1
229,"10,4,10","10,3,7",2,-1
230,"5,7,8","8,2,10",2,0
231,"10,6","7,7,10",0,0
232,"10,10","10,11",,-1
233,"5,8,3","5,6,5,10",2,0
234,"8,7,10","5,10,6",1,-1
235,"7,2,4","5,9,10",2,0
236,"9,6,10","9,11",2,-1
237,"7,3,6","10,6,6",2,0
238,"2,3,10","3,11,10,10",2,0
239,"10,11","10,10",0,1
240,"7,3,9","7,8,11,4","3,2",-1
240,"7,8","7,8,11,4","3,2",-1
241,"10,7,6","5,10,2",1,-1
242,"6,10,9","2,5,2,6,9",1,-1
243,"10,4,10","8,7,10",2,-1
244,"4,6,4","9,10",2,-1
245,"11,8,8","8,4,11,10","1,0",0
246,"11,7,8","10,6,10",2,0
247,"8,10,5","10,8",2,-1
248,"8,10,4","10,10",2,-1
249,"4,10,10","3,10,2,10",1,-1
250,"4,2","10,10",0,-1
251,"5,4,2","10,10",2,-1
252,"5,9,4","8,10",2,0
253,"2,3","11,10",,-1
254,"10,10","8,9",0,1
255,"6,10,9","2,5,9,10",1,-1
256,"10,3,10","8,7,10",2,-1
257,"10,10","10,10",0,0
258,"10,4,2","10,6,5",2,-1
259,"4,5,9","10,9",2,-1
260,"10,10","10,7",0,1
261,"9,10","10,11",,-1
262,"5,10,9","8,5,10",2,-1
263,"11,10","10,9",0,1
264,"6,9,3","7,11",2,0
265,"6,10,8","3,2,9,6",1,-1
266,"7,5,6","11,3,6",2,-1
